date,gdp_current_price,access_date
2011-01-01,13028.8438035529,2020-03-18
2011-04-01,14481.1419990862,2020-03-18
2011-07-01,15805.5816669369,2020-03-18
2011-10-01,16966.9730395774,2020-03-18
2012-01-01,15182.9872121348,2020-03-18
2012-04-01,16472.2155013837,2020-03-18
2012-07-01,17733.5447892249,2020-03-18
2012-10-01,18775.1356147654,2020-03-18
2013-01-01,16375.2612847889,2020-03-18
2013-04-01,17538.8387142457,2020-03-18
2013-07-01,19058.1140351666,2020-03-18
2013-10-01,20161.6810583852,2020-03-18
2014-01-01,17390.2,2020-03-18
2014-04-01,19128,2020-03-18
2014-07-01,20758.6,2020-03-18
2014-10-01,21922.9,2020-03-18
2015-01-01,17301.5863892146,2020-03-18
2015-04-01,19051.9418223234,2020-03-18
2015-07-01,20541.8945396687,2020-03-18
2015-10-01,22163.0612788878,2020-03-18
2016-01-01,18454.7548193158,2020-03-18
2016-04-01,19759.6671539396,2020-03-18
2016-07-01,21814.9099959907,2020-03-18
2016-10-01,23064.972644614,2020-03-18
2017-01-01,18950.2235112182,2020-03-18
2017-04-01,20558.1849110216,2020-03-18
2017-07-01,22339.9603162747,2020-03-18
2017-10-01,24165.8355615947,2020-03-18
2018-01-01,20644.0709501015,2020-03-18
2018-04-01,21971.9005978786,2020-03-18
2018-07-01,23795.480868808,2020-03-18
2018-10-01,25689.8954023188,2020-03-18
2019-01-01,22438.0993044357,2020-03-18
2019-04-01,24823.8112513425,2020-03-18
2019-07-01,27127.1832360718,2020-03-18
2019-10-01,29486.706591362,2020-03-18
2020-01-01,24487.1287966456,2020-03-18
2020-04-01,26188.0077269514,2020-03-18
2020-07-01,28000.4619876591,2020-03-18
