date,gdp_current_price,access_date
2011-01-01,13024.7995390248,2020-11-05
2011-04-01,14434.8223058143,2020-11-05
2011-07-01,15745.5835665553,2020-11-05
2011-10-01,16908.7954270198,2020-11-05
2012-01-01,15182.7763973366,2020-11-05
2012-04-01,16435.9955688377,2020-11-05
2012-07-01,17715.7879353873,2020-11-05
2012-10-01,18768.8897270778,2020-11-05
2013-01-01,16370.0028965064,2020-11-05
2013-04-01,17507.8817812809,2020-11-05
2013-07-01,19003.4693107336,2020-11-05
2013-10-01,20104.3471418184,2020-11-05
2014-01-01,17311.3936353865,2020-11-05
2014-04-01,19044.1893878062,2020-11-05
2014-07-01,20544.0041772045,2020-11-05
2014-10-01,22130.4528743369,2020-11-05
2015-01-01,18467.9128044457,2020-11-05
2015-04-01,19751.0149879844,2020-11-05
2015-07-01,21788.5894051046,2020-11-05
2015-10-01,23079.8428573423,2020-11-05
2016-01-01,18885.1210828438,2020-11-05
2016-04-01,20452.234645232,2020-11-05
2016-07-01,22235.1152234013,2020-11-05
2016-10-01,24043.6128499307,2020-11-05
2017-01-01,20586.1190603733,2020-11-05
2017-04-01,21917.5737734407,2020-11-05
2017-07-01,23718.2161505786,2020-11-05
2017-10-01,25621.2452341061,2020-11-05
2018-01-01,22845.2673058411,2020-11-05
2018-04-01,25225.5720140427,2020-11-05
2018-07-01,27508.9239455924,2020-11-05
2018-10-01,29049.8744669127,2020-11-05
2019-01-01,24944.7912232517,2020-11-05
2019-04-01,26410.2424030307,2020-11-05
2019-07-01,28875.4185627588,2020-11-05
2019-10-01,29815.5994479704,2020-11-05
2020-01-01,25317.665713112,2020-11-05
2020-04-01,23288.1838519164,2020-11-05
